ADDRESSE ; GEOLOCALISATION ; URL_SITE ; DESCRIPTION
16 Place DE L IRIS, 92998; ['48.889030', '2.248410']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureau-3497-m2-divisible-17010164.html; Surface5 544 m²Divisibles à partir de661 m²/Loyer à partir de480 €HT/HC/m²/an26 440 €HT/HC/mois 317 280 €HT/HC/an 
18 AVENUE D'ALSACE, 92998; ['45.381390', '-73.505539']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-21931-8-m2-divisibles-9013330.html; Surface5 288 m²Divisibles à partir de744 m²/Loyer à partir de370 €HT/HC/m²/an22 940 €HT/HC/mois 275 280 €HT/HC/an 
110 Esplanade DU GENERAL DE GAULLE, 92998; ['48.105820', '-1.676440']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-17361-m2-divisibles-6010253.html; Surface15 725 m²Divisibles à partir de1136 m²/Loyer à partir de500 €HT/HC/m²/an47 333 €HT/HC/mois 568 000 €HT/HC/an 
12 Place DE LA DEFENSE, 92998; ['48.895882', '2.252600']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-1702-m2-divisibles-15011700.html; Surface981 m²/Loyer 410 €HT/HC/m²/an33 518 €HT/HC/mois 402 210 €HT/HC/an 
8-14 Avenue DE L ARCHE, 92998; ['45.386440', '-73.919601']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-4161-m2-divisibles-10012844.html; Surface13 711 m²Divisibles à partir de545 m²/Loyer à partir de430 €HT/HC/m²/an19 529 €HT/HC/mois 234 350 €HT/HC/an 
9 Quai DU PRESIDENT PAUL DOUMER, 92998; ['48.889980', '2.255920']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-42735-m2-divisibles-10010786.html; Surface42 735 m²Divisibles à partir de4000 m²/Loyer à partir de430 €HT/HC/m²/an 143 333 €HT/HC/mois1 720 000 €HT/HC/an 
102 Terrasse BOIELDIEU, 92998; ['48.889420', '2.239910']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-21097-m2-divisibles-14011009.html; Surface984 m²Divisibles à partir de484 m²/Loyer à partir de390 €HT/HC/m²/an15 730 €HT/HC/mois 188 760 €HT/HC/an 
2DES VOSGES, 92998; ['29.063480', '-110.994080']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/courbevoie-92400/location-bureaux-2174-m2-divisibles-15013570.html; Surface5 368 m²Divisibles à partir de435 m²/Loyer à partir de350 €HT/HC/m²/an12 688 €HT/HC/mois 152 250 €HT/HC/an 
10-12 Cours MICHELET, 92998; ['48.888149', '2.246930']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-21031-m2-divisibles-13011668.html; Surface24 133 m²Divisibles à partir de1341 m²/Loyer à partir de490 €HT/HC/m²/an54 758 €HT/HC/mois 657 090 €HT/HC/an 
16 - 40 Rue HENRI REGNAULT, 92998; ['50.676029', '3.179090']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-6603-m2-non-divisibles-14014888.html; Surface116 m²/Loyer à partir de430 €HT/HC/m²/an4 157 €HT/HC/mois49 880 €HT/HC/an 
77-ESPL Esplanade DU GENERAL DE GAULLE, 92998; ['48.105820', '-1.676440']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/puteaux-92800/location-bureaux-5861-m2-divisibles-18011813.html; Surface5 861 m²Divisibles à partir de1153 m²/Loyer à partir de490 €HT/HC/m²/an47 081 €HT/HC/mois 564 970 €HT/HC/an 
3-5 Cours DU TRIANGLE LA DEFENSE 1, 92998; ['48.894459', '2.235760']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-22566-65-m2-non-divisibles-14013725.html; Surface8 225 m²Divisibles à partir de1000 m²/Loyer à partir de460 €HT/HC/m²/an38 333 €HT/HC/mois 460 000 €HT/HC/an 
1 Rue DU GENERAL LECLERC - LA DE, 92998; ['48.181179', '0.656780']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/puteaux-92800/location-bureaux-2647-m2-divisibles-16010895.html; Surface3 313 m²Divisibles à partir de385 m²/Loyer à partir de300 €HT/HC/m²/an9 625 €HT/HC/mois 115 500 €HT/HC/an 
100-101 Terrasse BOIELDIEU, 92998; ['48.889420', '2.239910']; https://www.bnppre.fr/a-louer/bureau/hauts-de-seine-92/la-defense-92998/location-bureaux-1486-m2-divisibles-16012698.html; Surface5 049 m²Divisibles à partir de1024 m²/Loyer à partir de370 €HT/HC/m²/an31 573 €HT/HC/mois 378 880 €HT/HC/an 
1 Place DU SUD - 92800 PUTEAUX; ['48.888340', '2.241570']; https://www.bureauxlocaux.com/annonce/location-bureau-puteaux-92800--976-404195; 
AKORA - 92997 COURBEVOIE LA DEFENSE; ['48.896830', '2.256540']; https://www.bureauxlocaux.com/annonce/location-bureau-courbevoie-la-defense-92997--972-343774; 
